index,generation,individual,bit_00,bit_01,bit_02,bit_03,bit_04,bit_05,bit_06,bit_07,bit_08,bit_09,bit_10,bit_11,bit_12,bit_13,bit_14,bit_15,bit_16,bit_17,bit_18,bit_19,bit_20,keff,ppf,fitness
1608,25,24,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,0,1.2736275906673094,1.154101262713025,44.23627590667309
1609,25,25,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.2694432402154827,1.113718320875593,36.194432402154824
1610,25,26,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.2694432402154192,1.113718320875593,36.19443240215419
1611,25,27,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.2694432402154376,1.1137183208755932,36.194432402154376
1612,25,28,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.2694432402154372,1.1137183208755932,36.19443240215437
1613,25,29,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.269443240215417,1.1137183208755934,36.19443240215417
1614,25,30,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,1,1,0,0,1.2674657965244616,1.1275665277523352,44.17465796524461
1615,25,31,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.2694432402153764,1.113718320875593,36.194432402153765
1616,25,32,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.2694432402154632,1.113718320875593,36.19443240215463
1617,25,33,0,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,1,1,0,1,0,1.2726400108158407,1.1275698017212326,44.22640010815841
1618,25,34,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1.2741002615773707,1.1203846673519373,52.24100261577371
1619,25,35,0,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,0,1.266262524471679,1.124035362260959,32.16262524471679
1620,25,36,0,1,1,1,0,1,0,1,0,1,1,0,0,1,1,0,1,1,0,1,0,1.26693363313951,1.1489746846194062,24.1693363313951
1621,25,37,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.2694432402154574,1.113718320875593,36.194432402154575
1622,25,38,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.2694432402154314,1.113718320875593,36.19443240215431
1623,25,39,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.2694432402154792,1.1137183208755927,36.19443240215479
1624,25,40,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.2694432402154205,1.1137183208755932,36.194432402154206
1625,25,41,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.2694432402154874,1.1137183208755932,36.194432402154874
1626,25,42,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1.2693715080400105,1.1054909891617817,52.1937150804001
1627,25,43,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1.2713035972766957,1.112446851493704,40.21303597276696
1628,25,44,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1.2729797116410688,1.1146559013090656,56.22979711641069
1629,25,45,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.2694432402154092,1.113718320875593,36.19443240215409
1630,25,46,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.2707081817927888,1.1192558694480712,40.207081817927886
1631,25,47,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.2694432402153975,1.1137183208755932,36.19443240215397
1632,25,48,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.2694432402154272,1.113718320875593,36.19443240215427
1633,25,49,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.2694432402153977,1.1137183208755932,36.19443240215398
1634,25,50,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.2694432402154634,1.113718320875593,36.19443240215463
1635,25,51,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.2694432402154143,1.1137183208755927,36.19443240215414
1636,25,52,0,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1.2741518933584552,1.113916370904542,44.24151893358455
1637,25,53,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,0,1,0,1.2730131387843608,1.116331038524542,44.230131387843606
1638,25,54,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.2694432402154665,1.1137183208755934,36.19443240215467
1639,25,55,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1.271303597276683,1.1124468514937038,40.21303597276683
1640,25,56,0,0,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1.2699884147402318,1.1744403992571584,40.199884147402315
1641,25,57,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.2694432402154883,1.1137183208755934,36.19443240215488
1642,25,58,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.26944324021539,1.1137183208755934,36.1944324021539
1643,25,59,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.2694432402153901,1.1137183208755934,36.1944324021539
1644,25,60,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.2694432402154021,1.1137183208755927,36.19443240215402
1645,25,61,0,1,1,1,0,1,0,1,0,1,1,0,0,1,1,0,1,1,0,1,0,1.2669336331394996,1.1489746846194067,24.169336331394994
1646,25,62,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,1.265711019348673,1.119266277986983,44.15711019348673
1647,25,63,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.2694432402154372,1.113718320875593,36.19443240215437
1648,25,64,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1.2694432402154505,1.1137183208755932,36.194432402154504
