index,episode,bit_00,bit_01,bit_02,bit_03,bit_04,bit_05,bit_06,bit_07,bit_08,bit_09,bit_10,bit_11,bit_12,bit_13,bit_14,bit_15,bit_16,bit_17,bit_18,bit_19,bit_20,keff,ppf,fitness
158,159,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1.2721978125645843,1.1371215286530654,52.110989062822924
159,160,0,0,1,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1.2742808693529362,1.1163654181953595,56.12140434676468
160,161,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1.2715642958484636,1.1314806829102781,52.10782147924232
161,162,0,0,0,1,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1.2730703413752158,1.135273741981741,48.115351706876076
162,163,0,1,0,1,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1.2728809363402607,1.1285443331280869,44.1144046817013
163,164,0,1,1,0,1,0,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1.2689968821452278,1.1200050476397583,44.09498441072614
164,165,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1.2640623994067837,1.120488456381552,68.07031199703391
165,166,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1.2746877588314542,1.1514563859834885,52.12343879415727
166,167,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1.2791840352532924,1.1218558583264575,48.145920176266465
167,168,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1.2699741982348671,1.1195768404795154,64.09987099117434
168,169,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1.2768999919011688,1.1126835844242922,48.134499959505845
169,170,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,1.2731121502895444,1.1172206665792008,56.115560751447724
170,171,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1.267694271496978,1.1296808901398194,52.08847135748489
171,172,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1.2603109153328955,1.1397085464232788,52.05155457666448
172,173,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0,1.2717674688061387,1.1224699255142043,52.1088373440307
